video_ID,group,text
-_Cw5A9gBiM,Политические,МЫ УЖЕ НЕ СМОТРИМ ГОС КАНАЛЫ ОДНО ВРАНЬЕ.
-_Cw5A9gBiM,Политические,"Довели. На телевизоре оставил три программы с мультиками для детей, остальные удалил. Невозможно смотреть и слушать Российские СМИ."
-_Cw5A9gBiM,Политические,"Не дай бог будущего с такими людьми. Любовь, я при этом уважаю."
-_Cw5A9gBiM,Политические,те кто переобувается на ходу давно под пристальным вниманием. необольщайтесь. они уже проиграли.
-_Cw5A9gBiM,Политические,"Пивоваров? Вы серьезно? Задавать вопросы у продажного журналиста, выполняющий гос заказы, ртом которого говорит государство, бесполезно."
-_Cw5A9gBiM,Политические,Ну и набор персонажей в выпуске.
-_Cw5A9gBiM,Политические,"А Любовь Эдуардовна совсем неплохо, даже, я бы сказал, весьма хорошо справилась с задачей! Прекрасная Россия Будущего искренне спрашивает у Журналистики России Сегодняшней жить-то как будем? , бытовуху-то как наладим?"
-_Cw5A9gBiM,Политические,"Мне лично интересно кто учредитель, директор канала, финансирование. Почему нет?"
-_Cw5A9gBiM,Политические,"офигенный формат, а Любовь в роли интервьюерши - просто пушка!"
-_Cw5A9gBiM,Политические,Мне не нравится е голос.
-_Cw5A9gBiM,Политические,Мне одной кажется или все представители СМИ неуровновешенные люди? Ни один спокойно не разговаривал у всех бомбит.
-_Cw5A9gBiM,Политические,"Привет, мохнарылые с Фейгин. Свобода слова была и закончилась совсем недавно. И что же с ней случилось?! А вы ее тупо продали с выгодой. Вы ее приватизировали и когда за нее заплатили хорошую цену вы ее продали. А она была не ваша - ее вам дал народ. Когда закрывали Невзорова, то собирался рассерженый народ орал и требовал справедливости. А когда вы продавали ваши СМИ кого вы позвали? Никого. Тупо продались и теперь, греясь во Флориде, нудите ах нас заставили, мы нехотели, нам было неприятно. Вы из СМИ сделали элитную тусовку и когда предложили хорошую цену вы продали свободу слова и переехали в инет, чтобы объяснять, что вы не продажные б. ди а жертвы. Тьфу."
-_Cw5A9gBiM,Политические,"Поддерживаю Соболь, надо подовать в суд на власть за СМИ, за цензуру."
-_Cw5A9gBiM,Политические,Нет гос сми!
-_Cw5A9gBiM,Политические,Молодец! А то все критика. Теперь что-то позитивное.
-_Cw5A9gBiM,Политические,Спасибо за вашу работу.
-_Cw5A9gBiM,Политические,"Небольшая подсказка некоторые комментаторы широкой публике неизвестны. Поэтому имя и место работы всех собеседников нужно указывать не только при их первом появлении в кадре что быстро забывается, но и несколько раз после этого."
-_Cw5A9gBiM,Политические,"Очень ждал когда Навальный начнёт говорить о будущем. Любовь, спасибо за начало работы в этом направлении!"
-_Cw5A9gBiM,Политические,"Мария Тернова Вот сама-то поняла, что написала?! Ни одного лайка за 22 часа - никто не понял ничего, кроме того , что это какой-то словесный и когнитивный понос."
-_Cw5A9gBiM,Политические,Ну и частные сми тоже не лучшее им лишбы нечего не делая порнографию крутить весь день.
-_Cw5A9gBiM,Политические,Вот это круть! Спасибо за выпуск!
-_Cw5A9gBiM,Политические,"Что Соболь , что Скабеева это одно и тоже. Только социальное государство. Тогда и алигархов не будет."
-_Cw5A9gBiM,Политические,Пойду Соловью диз поставлю.
-_Cw5A9gBiM,Политические,Хотелось бы чтоб путин не ушёл а чтоб его посадили за всё что он сделал.
-_Cw5A9gBiM,Политические,3012 Что вылетело изо рта деда?
-_Cw5A9gBiM,Политические,"Отличный формат! Предлагаю в начале каждого видео 1 минуту про Хабаровск, как это делают депутаты в Мосгордуме."
-_Cw5A9gBiM,Политические,Парфёнов кончено просто библиотека на ножках 1645 вспомнил про статью Рагу из синей птицы просто на ходу.
-_Cw5A9gBiM,Политические,"Ага, жди, щас в суде разберутся, ещё и виноват останешься."
-_Cw5A9gBiM,Политические,"Любимое слово Должны вот так и жизнь раба проходит в страхе и надежде что кто то, что то за них сделает. Для меня что Путин, что Навальный, что Соболь. 20 лет пустого пидежа о будущем."
-_Cw5A9gBiM,Политические,"Парфенов вообще красавчик, честный классный журналист."
-_Cw5A9gBiM,Политические," знаете, что важно в журналистике, особенно в бывшем СССР?. Знаю. Не отступать от линии КПСС. Писать, как хорошо в СССР, как загнивает Запад. И ни в коем случае не упоминать о Новочеркасском расстреле, обрушении эскалатора в московском метро и пр."
-_Cw5A9gBiM,Политические,! вы бы товарисч за своими зашкварами приглядывайте. а то если покопать думаю найдется зашкварина. да!?
-_Cw5A9gBiM,Политические,Вообще то пивоваров зашкварился уже неоднократно. Он только про деньги.
-_Cw5A9gBiM,Политические,"Интересно, почему я его не считаю честным? Мне почему то он видится хитрым болтуном. Помню его еще с времён закрытия НТВ."
